date,datetime,open,high,low,close,volume
2026-01-14 16:00:00+00:00,2026-01-14 16:00:00+00:00,96755.5,97925.4,95451.0,96742.1,9383.04416689
2026-01-15 16:00:00+00:00,2026-01-15 16:00:00+00:00,96742.0,97074.5,94303.6,94589.3,4787.20726267
2026-01-16 16:00:00+00:00,2026-01-16 16:00:00+00:00,94589.2,95638.0,94514.1,95571.0,2270.26843572
2026-01-17 16:00:00+00:00,2026-01-17 16:00:00+00:00,95571.0,95571.0,94878.1,95113.9,1578.11711268
2026-01-18 16:00:00+00:00,2026-01-18 16:00:00+00:00,95114.0,95529.0,91900.0,93063.0,7105.07302127
2026-01-19 16:00:00+00:00,2026-01-19 16:00:00+00:00,93063.0,93400.0,89852.0,90681.1,7683.42864804
2026-01-20 16:00:00+00:00,2026-01-20 16:00:00+00:00,90681.1,90973.8,87806.2,90279.5,8723.31212553
2026-01-21 16:00:00+00:00,2026-01-21 16:00:00+00:00,90279.5,90454.2,87258.7,89003.2,7022.92021541
2026-01-22 16:00:00+00:00,2026-01-22 16:00:00+00:00,89003.3,90096.9,88563.6,89754.2,4879.69224677
2026-01-23 16:00:00+00:00,2026-01-23 16:00:00+00:00,89754.3,91222.0,89178.5,89279.9,3025.50505984
2026-01-24 16:00:00+00:00,2026-01-24 16:00:00+00:00,89280.0,89507.2,88133.5,88456.1,2144.93327727
2026-01-25 16:00:00+00:00,2026-01-25 16:00:00+00:00,88456.1,88857.0,86090.0,87643.0,7255.08768604
2026-01-26 16:00:00+00:00,2026-01-26 16:00:00+00:00,87643.1,88996.0,87041.1,88038.9,4275.27069649
2026-01-27 16:00:00+00:00,2026-01-27 16:00:00+00:00,88039.0,90488.0,87311.7,89480.5,5872.70165154
2026-01-28 16:00:00+00:00,2026-01-28 16:00:00+00:00,89480.5,90606.1,84389.9,84950.5,8047.87648884
2026-01-29 16:00:00+00:00,2026-01-29 16:00:00+00:00,84951.0,85631.3,81010.0,82885.4,13040.16625305
2026-01-30 16:00:00+00:00,2026-01-30 16:00:00+00:00,82882.1,84631.3,80831.6,81302.0,9116.29413156
2026-01-31 16:00:00+00:00,2026-01-31 16:00:00+00:00,81302.0,82216.0,75678.0,77600.9,14363.86011201
2026-02-01 16:00:00+00:00,2026-02-01 16:00:00+00:00,77601.9,79335.5,74612.0,78851.7,14881.86093033
2026-02-02 16:00:00+00:00,2026-02-02 16:00:00+00:00,78845.1,79292.0,77057.0,78134.1,8213.88758239
2026-02-03 16:00:00+00:00,2026-02-03 16:00:00+00:00,78134.1,78140.0,72917.8,74140.1,12490.86701745
2026-02-04 16:00:00+00:00,2026-02-04 16:00:00+00:00,74142.4,74242.3,66700.3,67482.9,21696.40291123
2026-02-05 16:00:00+00:00,2026-02-05 16:00:00+00:00,67488.0,69190.9,60000.0,68629.0,41236.42735898
2026-02-06 16:00:00+00:00,2026-02-06 16:00:00+00:00,68629.0,71745.8,67350.0,69159.9,17469.21656222
